Date,Position,Teams,Players
"CS:GO World ranking on October 25th, 2021",#25,Sinners(109 points),oskar ZEDKO beastik SHOCK NEOFRAG
"CS:GO World ranking on October 25th, 2021",#26,forZe(101 points),Jerry zorte KENSI Norwi
"CS:GO World ranking on October 25th, 2021",#27,Dignitas(93 points),f0rest friberg Lekr0 hallzerk HEAP
"CS:GO World ranking on October 25th, 2021",#28,fnatic(88 points),KRIMZ ALEX smooya Brollan mezii
"CS:GO World ranking on October 25th, 2021",#29,1WIN(86 points),Polt TRAVIS glowiing deko Ravenlot
"CS:GO World ranking on October 25th, 2021",#30,Complexity(86 points),jks es3tag coldzera blameF
"CS:GO World ranking on September 27th, 2021",#1,Natus Vincere(1000 points),s1mple electronic Boombl4 Perfecto B1T
"CS:GO World ranking on September 27th, 2021",#2,Gambit(509 points),Hobbit interz Ax1Le sh1ro nafany
"CS:GO World ranking on September 27th, 2021",#3,Vitality(442 points),shox apEX ZywOo misutaaa Kyojin
"CS:GO World ranking on September 27th, 2021",#4,G2(427 points),JaCkz NiKo huNter- AmaNEk nexa
"CS:GO World ranking on September 27th, 2021",#5,FaZe(403 points),karrigan olofmeister rain Twistzz broky
"CS:GO World ranking on September 27th, 2021",#6,Heroic(384 points),cadiaN refrezh stavn TeSeS sjuush
"CS:GO World ranking on September 27th, 2021",#7,NIP(341 points),device REZ hampus Plopski LNZ
"CS:GO World ranking on September 27th, 2021",#8,Virtus.pro(322 points),SANJI buster Qikert Jame YEKINDAR
"CS:GO World ranking on September 27th, 2021",#9,Astralis(312 points),Xyp9x dupreeh Magisk Bubzkji Lucky
"CS:GO World ranking on September 27th, 2021",#10,OG(251 points),valde Aleksib niko mantuu flameZ
"CS:GO World ranking on September 27th, 2021",#11,BIG(241 points),tabseN tiziaN syrsoN gade k1to
"CS:GO World ranking on September 27th, 2021",#12,Liquid(216 points),FalleN NAF EliGE Stewie2K Grim
"CS:GO World ranking on September 27th, 2021",#13,forZe(175 points),almazer FL1T Jerry zorte KENSI
"CS:GO World ranking on September 27th, 2021",#14,MOUZ(169 points),dexter frozen acoR ropz Bymas
"CS:GO World ranking on September 27th, 2021",#15,Spirit(168 points),chopper mir sdy degster magixx
"CS:GO World ranking on September 27th, 2021",#16,Complexity(147 points),jks es3tag coldzera poizon blameF
"CS:GO World ranking on September 27th, 2021",#17,ENCE(131 points),Snappi doto dycha hades Spinx
"CS:GO World ranking on September 27th, 2021",#18,FURIA(131 points),arT yuurih VINI KSCERATO drop
"CS:GO World ranking on September 27th, 2021",#19,Entropiq(112 points),NickelBack Krad Lack1 El1an Forester
"CS:GO World ranking on September 27th, 2021",#20,fnatic(99 points),KRIMZ ALEX Brollan Jackinho mezii
"CS:GO World ranking on September 27th, 2021",#21,Sinners(91 points),oskar ZEDKO beastik SHOCK NEOFRAG
"CS:GO World ranking on September 27th, 2021",#22,SKADE(90 points),SHiPZ dennyslaw KalubeR Duplicate Rainwaker
"CS:GO World ranking on September 27th, 2021",#23,Renegades(85 points),Sico aliStair INS Hatz malta
"CS:GO World ranking on September 27th, 2021",#24,Copenhagen Flames(77 points),HooXi nicoodoz roeJ jabbi Zyphon
"CS:GO World ranking on September 27th, 2021",#25,AGO(75 points),rallen Furlan leman snatchie F1KU
"CS:GO World ranking on September 27th, 2021",#26,Extra Salt(61 points),Sonic MarKE JT oSee FaNg
"CS:GO World ranking on September 27th, 2021",#27,1WIN(58 points),Polt TRAVIS glowiing deko Ravenlot
"CS:GO World ranking on September 27th, 2021",#28,Lyngby Vikings(58 points),FASHR Daffu WolfY birdfromsky maNkz
"CS:GO World ranking on September 27th, 2021",#29,Endpoint(55 points),CRUC1AL MiGHTYMAX Surreal Thomas BOROS
"CS:GO World ranking on September 27th, 2021",#30,DBL PONEY(51 points),bodyy Lucky Djoko Ex3rcice afro
"CS:GO World ranking on August 30th, 2021",#1,Natus Vincere(1000 points),s1mple electronic Boombl4 Perfecto B1T
"CS:GO World ranking on August 30th, 2021",#2,Gambit(873 points),Hobbit interz Ax1Le sh1ro nafany
"CS:GO World ranking on August 30th, 2021",#3,G2(657 points),JaCkz NiKo huNter- AmaNEk nexa
"CS:GO World ranking on August 30th, 2021",#4,FaZe(432 points),karrigan olofmeister rain Twistzz broky
"CS:GO World ranking on August 30th, 2021",#5,Virtus.pro(382 points),SANJI buster Qikert Jame YEKINDAR
"CS:GO World ranking on August 30th, 2021",#6,Astralis(373 points),dupreeh gla1ve Magisk Bubzkji Lucky
"CS:GO World ranking on August 30th, 2021",#7,Heroic(350 points),cadiaN refrezh stavn TeSeS sjuush
"CS:GO World ranking on August 30th, 2021",#8,Vitality(306 points),shox apEX ZywOo misutaaa Kyojin
"CS:GO World ranking on August 30th, 2021",#9,NIP(282 points),device REZ hampus Plopski LNZ
"CS:GO World ranking on August 30th, 2021",#10,BIG(265 points),tabseN tiziaN syrsoN gade k1to
"CS:GO World ranking on August 30th, 2021",#11,OG(255 points),valde Aleksib niko mantuu flameZ
"CS:GO World ranking on August 30th, 2021",#12,Spirit(248 points),chopper mir sdy degster magixx
"CS:GO World ranking on August 30th, 2021",#13,forZe(199 points),almazer FL1T Jerry zorte KENSI
"CS:GO World ranking on August 30th, 2021",#14,MOUZ(185 points),dexter frozen acoR ropz Bymas
"CS:GO World ranking on August 30th, 2021",#15,FURIA(182 points),arT yuurih VINI KSCERATO drop
"CS:GO World ranking on August 30th, 2021",#16,Liquid(181 points),FalleN NAF EliGE Stewie2K Grim
"CS:GO World ranking on August 30th, 2021",#17,Complexity(173 points),jks es3tag NaToSaphiX poizon blameF
"CS:GO World ranking on August 30th, 2021",#18,Entropiq(160 points),NickelBack Krad Lack1 El1an Forester
"CS:GO World ranking on August 30th, 2021",#19,ENCE(120 points),Snappi doto dycha hades Spinx
"CS:GO World ranking on August 30th, 2021",#20,Sinners(101 points),oskar ZEDKO beastik SHOCK NEOFRAG
"CS:GO World ranking on August 30th, 2021",#21,Renegades(100 points),Sico aliStair INS Hatz malta
"CS:GO World ranking on August 30th, 2021",#22,SKADE(96 points),SHiPZ dennyslaw Duplicate Rainwaker oxygeN
"CS:GO World ranking on August 30th, 2021",#23,AGO(84 points),rallen Furlan leman snatchie F1KU
"CS:GO World ranking on August 30th, 2021",#24,Extra Salt(79 points),Sonic MarKE JT oSee FaNg
"CS:GO World ranking on August 30th, 2021",#25,K23(78 points),AdreN mou neaLaN n0rb3r7 fame
"CS:GO World ranking on August 30th, 2021",#26,Evil Geniuses(76 points),MICHU daps Brehze CeRq oBo
"CS:GO World ranking on August 30th, 2021",#27,Endpoint(76 points),CRUC1AL MiGHTYMAX Surreal Thomas BOROS
"CS:GO World ranking on August 30th, 2021",#28,FunPlus Phoenix(73 points),zehN emi STYKO Maden Farlig
"CS:GO World ranking on August 30th, 2021",#29,Fiend(71 points),bubble v1c7oR dream3r REDSTAR h4rn
"CS:GO World ranking on August 30th, 2021",#30,Copenhagen Flames(67 points),HooXi nicoodoz roeJ jabbi Zyphon
"CS:GO World ranking on July 26th, 2021",#1,Natus Vincere(965 points),s1mple electronic Boombl4 Perfecto B1T
"CS:GO World ranking on July 26th, 2021",#2,Gambit(895 points),Hobbit interz Ax1Le sh1ro nafany
"CS:GO World ranking on July 26th, 2021",#3,G2(661 points),JaCkz NiKo huNter- AmaNEk nexa
"CS:GO World ranking on July 26th, 2021",#4,Astralis(415 points),Xyp9x dupreeh gla1ve Magisk Bubzkji
"CS:GO World ranking on July 26th, 2021",#5,Virtus.pro(393 points),SANJI buster Qikert Jame YEKINDAR
"CS:GO World ranking on July 26th, 2021",#6,FaZe(369 points),karrigan olofmeister rain Twistzz broky
"CS:GO World ranking on July 26th, 2021",#7,Heroic(343 points),cadiaN refrezh stavn TeSeS sjuush
"CS:GO World ranking on July 26th, 2021",#8,BIG(320 points),tabseN tiziaN syrsoN XANTARES k1to
"CS:GO World ranking on July 26th, 2021",#9,NIP(317 points),device REZ hampus Plopski LNZ
"CS:GO World ranking on July 26th, 2021",#10,Vitality(294 points),shox apEX ZywOo misutaaa Kyojin
"CS:GO World ranking on July 26th, 2021",#11,MOUZ(246 points),dexter frozen acoR ropz Bymas
"CS:GO World ranking on July 26th, 2021",#12,Spirit(244 points),chopper mir sdy degster magixx
"CS:GO World ranking on July 26th, 2021",#13,Liquid(233 points),FalleN NAF EliGE Stewie2K Grim
"CS:GO World ranking on July 26th, 2021",#14,OG(222 points),valde Aleksib niko mantuu flameZ
"CS:GO World ranking on July 26th, 2021",#15,FURIA(222 points),arT yuurih VINI KSCERATO honda
"CS:GO World ranking on July 26th, 2021",#16,Complexity(193 points),jks es3tag k0nfig poizon blameF
"CS:GO World ranking on July 26th, 2021",#17,Entropiq(164 points),NickelBack Krad Lack1 El1an Forester
"CS:GO World ranking on July 26th, 2021",#18,forZe(152 points),almazer FL1T Jerry zorte KENSI
"CS:GO World ranking on July 26th, 2021",#19,Evil Geniuses(108 points),MICHU stanislaw Brehze CeRq oBo
"CS:GO World ranking on July 26th, 2021",#20,FunPlus Phoenix(98 points),zehN emi STYKO Maden Farlig
"CS:GO World ranking on July 26th, 2021",#21,Renegades(89 points),Sico aliStair INS Hatz malta
"CS:GO World ranking on July 26th, 2021",#22,Endpoint(88 points),CRUC1AL MiGHTYMAX Surreal Thomas mezii
"CS:GO World ranking on July 26th, 2021",#23,Extra Salt(83 points),Sonic MarKE JT oSee FaNg
"CS:GO World ranking on July 26th, 2021",#24,ENCE(83 points),Snappi doto dycha hades Spinx
"CS:GO World ranking on July 26th, 2021",#25,Sinners(80 points),oskar ZEDKO beastik SHOCK NEOFRAG
"CS:GO World ranking on July 26th, 2021",#26,SKADE(78 points),SHiPZ dennyslaw Duplicate Rainwaker oxygeN
"CS:GO World ranking on July 26th, 2021",#27,Fiend(75 points),bubble v1c7oR dream3r REDSTAR h4rn
"CS:GO World ranking on July 26th, 2021",#28,Akuma(68 points),Sergiz Psycho SENSEi DemQQ j3kie
"CS:GO World ranking on July 26th, 2021",#29,AGO(67 points),rallen Furlan leman snatchie F1KU
"CS:GO World ranking on July 26th, 2021",#30,K23(64 points),AdreN mou neaLaN n0rb3r7 fame
"CS:GO World ranking on June 28th, 2021",#1,Gambit(1000 points),Hobbit interz Ax1Le sh1ro nafany
"CS:GO World ranking on June 28th, 2021",#2,Natus Vincere(642 points),s1mple electronic Boombl4 Perfecto B1T
"CS:GO World ranking on June 28th, 2021",#3,G2(521 points),JaCkz NiKo huNter- AmaNEk nexa
"CS:GO World ranking on June 28th, 2021",#4,Heroic(461 points),cadiaN refrezh stavn TeSeS sjuush
"CS:GO World ranking on June 28th, 2021",#5,NIP(356 points),device REZ hampus Plopski LNZ
"CS:GO World ranking on June 28th, 2021",#6,Virtus.pro(340 points),SANJI buster Qikert Jame YEKINDAR
"CS:GO World ranking on June 28th, 2021",#7,MOUZ(334 points),dexter frozen acoR ropz Bymas
"CS:GO World ranking on June 28th, 2021",#8,Astralis(321 points),Xyp9x dupreeh gla1ve Magisk Bubzkji
"CS:GO World ranking on June 28th, 2021",#9,BIG(320 points),tabseN tiziaN syrsoN XANTARES k1to
"CS:GO World ranking on June 28th, 2021",#10,Vitality(314 points),shox apEX ZywOo misutaaa Kyojin
"CS:GO World ranking on June 28th, 2021",#11,OG(284 points),valde Aleksib niko mantuu flameZ
"CS:GO World ranking on June 28th, 2021",#12,Liquid(262 points),FalleN NAF EliGE Stewie2K Grim
"CS:GO World ranking on June 28th, 2021",#13,FURIA(261 points),arT yuurih VINI KSCERATO honda
"CS:GO World ranking on June 28th, 2021",#14,Complexity(248 points),jks RUSH k0nfig poizon blameF
"CS:GO World ranking on June 28th, 2021",#15,Spirit(205 points),chopper mir sdy degster magixx
"CS:GO World ranking on June 28th, 2021",#16,forZe(189 points),almazer FL1T Jerry zorte KENSI
"CS:GO World ranking on June 28th, 2021",#17,Entropiq(188 points),NickelBack Krad Lack1 El1an Forester
"CS:GO World ranking on June 28th, 2021",#18,FunPlus Phoenix(140 points),zehN emi STYKO Maden Farlig
"CS:GO World ranking on June 28th, 2021",#19,Extra Salt(123 points),Sonic MarKE JT oSee FaNg
"CS:GO World ranking on June 28th, 2021",#20,Evil Geniuses(120 points),MICHU stanislaw Brehze CeRq oBo
"CS:GO World ranking on June 28th, 2021",#21,ENCE(113 points),Snappi doto dycha hades Spinx
"CS:GO World ranking on June 28th, 2021",#22,Akuma(109 points),Sergiz Psycho SENSEi DemQQ j3kie
"CS:GO World ranking on June 28th, 2021",#23,Fiend(103 points),bubble v1c7oR dream3r REDSTAR h4rn
"CS:GO World ranking on June 28th, 2021",#24,AGO(86 points),rallen reatz Furlan snatchie F1KU
"CS:GO World ranking on June 28th, 2021",#25,DBL PONEY(75 points),bodyy Lucky Djoko Ex3rcice afro
"CS:GO World ranking on June 28th, 2021",#26,Sinners(74 points),oskar ZEDKO beastik SHOCK NEOFRAG
"CS:GO World ranking on June 28th, 2021",#27,O PLANO(72 points),kNgV- HEN1 LUCAS1 leo_drk vsm
"CS:GO World ranking on June 28th, 2021",#28,Copenhagen Flames(70 points),HooXi nicoodoz roeJ jabbi Zyphon
"CS:GO World ranking on June 28th, 2021",#29,SAW(68 points),arki MUTiRiS rmn JUST stadodo
"CS:GO World ranking on June 28th, 2021",#30,HAVU(66 points),Aerial xseveN ZOREE sLowi
"CS:GO World ranking on May 31st, 2021",#1,Gambit(973 points),Hobbit interz Ax1Le sh1ro nafany
"CS:GO World ranking on May 31st, 2021",#2,Heroic(829 points),cadiaN refrezh stavn TeSeS sjuush
"CS:GO World ranking on May 31st, 2021",#3,Natus Vincere(780 points),s1mple electronic Boombl4 Perfecto B1T
"CS:GO World ranking on May 31st, 2021",#4,G2(637 points),JaCkz NiKo huNter- AmaNEk nexa
"CS:GO World ranking on May 31st, 2021",#5,Astralis(520 points),Xyp9x dupreeh gla1ve Magisk Bubzkji
"CS:GO World ranking on May 31st, 2021",#6,MOUZ(518 points),dexter frozen acoR ropz Bymas
"CS:GO World ranking on May 31st, 2021",#7,FURIA(504 points),arT yuurih VINI junior KSCERATO
"CS:GO World ranking on May 31st, 2021",#8,BIG(468 points),tabseN tiziaN syrsoN XANTARES k1to
"CS:GO World ranking on May 31st, 2021",#9,Virtus.pro(432 points),SANJI buster Qikert Jame YEKINDAR
"CS:GO World ranking on May 31st, 2021",#10,NIP(422 points),device REZ hampus Plopski ztr
"CS:GO World ranking on May 31st, 2021",#11,Liquid(378 points),FalleN NAF EliGE Stewie2K Grim
"CS:GO World ranking on May 31st, 2021",#12,Vitality(345 points),shox apEX ZywOo misutaaa Kyojin
"CS:GO World ranking on May 31st, 2021",#13,Complexity(312 points),jks RUSH k0nfig poizon blameF
"CS:GO World ranking on May 31st, 2021",#14,Spirit(302 points),chopper mir sdy degster magixx
"CS:GO World ranking on May 31st, 2021",#15,Entropiq(231 points),NickelBack Krad Lack1 El1an Forester
"CS:GO World ranking on May 31st, 2021",#16,forZe(226 points),almazer FL1T Jerry zorte KENSI
"CS:GO World ranking on May 31st, 2021",#17,FunPlus Phoenix(217 points),zehN emi STYKO Maden Farlig
"CS:GO World ranking on May 31st, 2021",#18,Extra Salt(196 points),Sonic MarKE JT oSee FaNg
"CS:GO World ranking on May 31st, 2021",#19,Akuma(172 points),Sergiz Psycho SENSEi DemQQ j3kie
"CS:GO World ranking on May 31st, 2021",#20,OG(152 points),valde Aleksib niko mantuu flameZ
"CS:GO World ranking on May 31st, 2021",#21,HAVU(151 points),Aerial xseveN ZOREE sLowi jemi
"CS:GO World ranking on May 31st, 2021",#22,SKADE(139 points),SHiPZ dennyslaw Duplicate Rainwaker oxygeN
"CS:GO World ranking on May 31st, 2021",#23,DBL PONEY(116 points),NBK- bodyy Lucky Djoko afro
"CS:GO World ranking on May 31st, 2021",#24,Dignitas(114 points),f0rest friberg Lekr0 hallzerk HEAP
"CS:GO World ranking on May 31st, 2021",#25,FaZe(111 points),karrigan rain coldzera Twistzz broky
"CS:GO World ranking on May 31st, 2021",#26,EXTREMUM(108 points),BnTeT AZR jkaem Gratisfaction Liazz
"CS:GO World ranking on May 31st, 2021",#27,K23(105 points),AdreN mou neaLaN n0rb3r7 fame
"CS:GO World ranking on May 31st, 2021",#28,Fiend(104 points),bubble v1c7oR dream3r mar REDSTAR
"CS:GO World ranking on May 31st, 2021",#29,fnatic(104 points),JW KRIMZ Golden Brollan Jackinho
"CS:GO World ranking on May 31st, 2021",#30,O PLANO(103 points),kNgV- HEN1 LUCAS1 leo_drk vsm
"CS:GO World ranking on April 26th, 2021",#1,Gambit(993 points),Hobbit interz Ax1Le sh1ro nafany
"CS:GO World ranking on April 26th, 2021",#2,Heroic(835 points),cadiaN refrezh stavn TeSeS sjuush
"CS:GO World ranking on April 26th, 2021",#3,Astralis(639 points),Xyp9x dupreeh gla1ve Magisk Bubzkji
"CS:GO World ranking on April 26th, 2021",#4,Virtus.pro(607 points),SANJI buster Qikert Jame YEKINDAR
"CS:GO World ranking on April 26th, 2021",#5,Natus Vincere(596 points),s1mple electronic Boombl4 Perfecto B1T
"CS:GO World ranking on April 26th, 2021",#6,BIG(564 points),tabseN tiziaN syrsoN XANTARES k1to
"CS:GO World ranking on April 26th, 2021",#7,FURIA(536 points),arT yuurih VINI junior KSCERATO
"CS:GO World ranking on April 26th, 2021",#8,Liquid(517 points),FalleN NAF EliGE Stewie2K Grim
"CS:GO World ranking on April 26th, 2021",#9,G2(490 points),JaCkz NiKo huNter- AmaNEk nexa
"CS:GO World ranking on April 26th, 2021",#10,Complexity(468 points),jks RUSH k0nfig poizon blameF
"CS:GO World ranking on April 26th, 2021",#11,Spirit(432 points),chopper mir sdy degster magixx
"CS:GO World ranking on April 26th, 2021",#12,Vitality(354 points),shox apEX ZywOo misutaaa Kyojin
"CS:GO World ranking on April 26th, 2021",#13,NIP(344 points),device REZ hampus Plopski ztr
"CS:GO World ranking on April 26th, 2021",#14,HAVU(272 points),Aerial xseveN ZOREE sLowi jemi
"CS:GO World ranking on April 26th, 2021",#15,Extra Salt(252 points),Sonic MarKE JT oSee FaNg
"CS:GO World ranking on April 26th, 2021",#16,FunPlus Phoenix(249 points),zehN emi STYKO Maden Farlig
"CS:GO World ranking on April 26th, 2021",#17,MOUZ(242 points),dexter frozen acoR ropz Bymas
"CS:GO World ranking on April 26th, 2021",#18,FaZe(225 points),karrigan rain coldzera Twistzz broky
"CS:GO World ranking on April 26th, 2021",#19,OG(224 points),valde Aleksib niko mantuu flameZ
"CS:GO World ranking on April 26th, 2021",#20,fnatic(188 points),JW KRIMZ Golden Brollan Jackinho
"CS:GO World ranking on April 26th, 2021",#21,EPG Family(184 points),NickelBack Krad Lack1 El1an Forester
"CS:GO World ranking on April 26th, 2021",#22,Evil Geniuses(166 points),MICHU stanislaw Brehze CeRq oBo
"CS:GO World ranking on April 26th, 2021",#23,SKADE(158 points),SHiPZ dennyslaw Duplicate Rainwaker oxygeN
"CS:GO World ranking on April 26th, 2021",#24,forZe(153 points),almazer FL1T Jerry zorte KENSI
"CS:GO World ranking on April 26th, 2021",#25,Dignitas(153 points),f0rest friberg Lekr0 hallzerk HEAP
"CS:GO World ranking on April 26th, 2021",#26,ENCE(151 points),allu Snappi doto dycha Spinx
"CS:GO World ranking on April 26th, 2021",#27,paiN(111 points),PKL NEKIZ hardzao biguzera saffee
"CS:GO World ranking on April 26th, 2021",#28,AGO(104 points),rallen reatz Furlan snatchie F1KU
"CS:GO World ranking on April 26th, 2021",#29,SAW(97 points),arki MUTiRiS rmn JUST stadodo
"CS:GO World ranking on April 26th, 2021",#30,Sprout(91 points),Spiidi denis kressy faveN slaxz-
"CS:GO World ranking on March 29th, 2021",#1,Natus Vincere(824 points),flamie s1mple electronic Boombl4 Perfecto
"CS:GO World ranking on March 29th, 2021",#2,Astralis(769 points),Xyp9x dupreeh gla1ve device Magisk
"CS:GO World ranking on March 29th, 2021",#3,Gambit(641 points),Hobbit interz Ax1Le sh1ro nafany
"CS:GO World ranking on March 29th, 2021",#4,Virtus.pro(603 points),SANJI buster Qikert Jame YEKINDAR
"CS:GO World ranking on March 29th, 2021",#5,Liquid(525 points),FalleN NAF EliGE Stewie2K Grim
"CS:GO World ranking on March 29th, 2021",#6,Vitality(469 points),shox RpK apEX ZywOo misutaaa
"CS:GO World ranking on March 29th, 2021",#7,Spirit(443 points),chopper mir sdy degster magixx
"CS:GO World ranking on March 29th, 2021",#8,BIG(422 points),tabseN tiziaN syrsoN XANTARES k1to
"CS:GO World ranking on March 29th, 2021",#9,Complexity(330 points),jks RUSH k0nfig poizon blameF
"CS:GO World ranking on March 29th, 2021",#10,FURIA(291 points),arT yuurih VINI junior KSCERATO
"CS:GO World ranking on March 29th, 2021",#11,NIP(289 points),REZ hampus nawwk Plopski ztr
"CS:GO World ranking on March 29th, 2021",#12,Heroic(287 points),cadiaN refrezh stavn TeSeS sjuush
"CS:GO World ranking on March 29th, 2021",#13,G2(275 points),JaCkz NiKo huNter- AmaNEk nexa
"CS:GO World ranking on March 29th, 2021",#14,Evil Geniuses(232 points),stanislaw tarik Brehze CeRq oBo
"CS:GO World ranking on March 29th, 2021",#15,FaZe(224 points),karrigan rain coldzera Twistzz broky
"CS:GO World ranking on March 29th, 2021",#16,FunPlus Phoenix(194 points),zehN suNny STYKO Maden Farlig
"CS:GO World ranking on March 29th, 2021",#17,HAVU(170 points),Aerial xseveN ZOREE sLowi jemi
"CS:GO World ranking on March 29th, 2021",#18,fnatic(167 points),JW KRIMZ Golden Brollan Jackinho
"CS:GO World ranking on March 29th, 2021",#19,MOUZ(166 points),dexter frozen acoR ropz Bymas
"CS:GO World ranking on March 29th, 2021",#20,OG(156 points),valde Aleksib niko mantuu
"CS:GO World ranking on March 29th, 2021",#21,Extra Salt(150 points),Sonic MarKE JT oSee FaNg
"CS:GO World ranking on March 29th, 2021",#22,Winstrike(103 points),NickelBack Krad Lack1 El1an Forester
"CS:GO World ranking on March 29th, 2021",#23,AGO(102 points),rallen reatz Furlan snatchie F1KU
